AnzahlFall,Datum,FID,IstErkrankungsbeginn
1.0,2020-05-17 02:00:00,12757883,1.0
1.0,2020-05-17 02:00:00,12758257,1.0
2.0,2020-05-17 02:00:00,12758631,1.0
1.0,2020-05-17 02:00:00,12760127,1.0
1.0,2020-05-17 02:00:00,12760501,1.0
1.0,2020-05-17 02:00:00,12761249,1.0
1.0,2020-05-17 02:00:00,12761623,1.0
1.0,2020-05-17 02:00:00,12763119,1.0
3.0,2020-05-17 02:00:00,12763493,1.0
51.0,2020-05-17 02:00:00,12763494,0.0
2.0,2020-05-17 02:00:00,12763867,1.0
2.0,2020-05-17 02:00:00,12764241,1.0
5.0,2020-05-17 02:00:00,12764242,0.0
2.0,2020-05-17 02:00:00,12764989,1.0
2.0,2020-05-17 02:00:00,12765363,1.0
1.0,2020-05-17 02:00:00,12766112,0.0
1.0,2020-05-17 02:00:00,12766859,1.0
1.0,2020-05-17 02:00:00,12767233,1.0
1.0,2020-05-17 02:00:00,12767234,0.0
1.0,2020-05-17 02:00:00,12767608,0.0
1.0,2020-05-17 02:00:00,12767981,1.0
1.0,2020-05-17 02:00:00,12769103,1.0
1.0,2020-05-17 02:00:00,12769477,1.0
1.0,2020-05-17 02:00:00,12770599,1.0
5.0,2020-05-17 02:00:00,12771721,1.0
2.0,2020-05-17 02:00:00,12772470,0.0
13.0,2020-05-17 02:00:00,12773218,0.0
1.0,2020-05-17 02:00:00,12776583,1.0
1.0,2020-05-17 02:00:00,12779949,1.0
1.0,2020-05-17 02:00:00,12780324,0.0
3.0,2020-05-17 02:00:00,12786307,1.0
2.0,2020-05-17 02:00:00,12787055,1.0
1.0,2020-05-17 02:00:00,12787803,1.0
1.0,2020-05-17 02:00:00,12787804,0.0
1.0,2020-05-17 02:00:00,12788177,1.0
1.0,2020-05-17 02:00:00,12788178,0.0
1.0,2020-05-17 02:00:00,12788926,0.0
1.0,2020-05-17 02:00:00,12789673,1.0
1.0,2020-05-17 02:00:00,12790048,0.0
1.0,2020-05-17 02:00:00,12791917,1.0
2.0,2020-05-17 02:00:00,12793413,1.0
2.0,2020-05-17 02:00:00,12794161,1.0
2.0,2020-05-17 02:00:00,12794162,0.0
1.0,2020-05-17 02:00:00,12794910,0.0
1.0,2020-05-17 02:00:00,12795657,1.0
3.0,2020-05-17 02:00:00,12796779,1.0
1.0,2020-05-17 02:00:00,12797153,1.0
2.0,2020-05-17 02:00:00,12797528,0.0
1.0,2020-05-17 02:00:00,12799772,0.0
