date,region,cases,cases_national,country,eurostat_total_population_2019,code,new_cases,new_cases_national,sum_pop,cases_pop_sub,cases_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2
2020-01-05,Abruzzo,0,0,Italy,1311580,ITF1,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Aosta Valley,0,0,Italy,125666,ITC2,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Apulia,0,0,Italy,4029053,ITF4,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Basilicate,0,0,Italy,562869,ITF5,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Calabria,0,0,Italy,1947131,ITF6,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Campania,0,0,Italy,5801692,ITF3,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Emilia-Romagna,0,0,Italy,4459477,ITH5,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Friuli Venezia Giulia,0,0,Italy,1215220,ITH4,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Lazio,0,0,Italy,5879082,ITI4,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Liguria,0,0,Italy,1550640,ITC3,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Lombardy,0,0,Italy,10060574,ITC4,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Molise,0,0,Italy,305617,ITF2,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Piedmont,0,0,Italy,4356406,ITC1,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Sardinia,0,0,Italy,1639591,ITG2,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Sicily,0,0,Italy,4999891,ITG1,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,The Marches,0,0,Italy,1525271,ITI3,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Trentino-Alto Adige,0,0,Italy,NA,IT,0,0,59287270,NA,0,NA,NaN,NaN,NaN,NaN
